number,values_AnswerCorrectness,values_ContextPrecision,values_ContextRecall,values_Faithfulness,datetime_start,datetime_complete,duration,params_chunk_mode,params_chunk_size,params_context_parents,params_retrieval_count,user_attrs_page,system_attrs_fixed_params,state
20,0.8443745374679565,1.0,1.0,0.75,2026-08-30 04:43:24.219481,2026-08-30 04:44:02.466744,0 days 00:00:38.247263,fixed,512,False,5,https://www.intercom.com/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
21,0.751486424356699,0.75,0.75,0.5,2026-08-30 04:44:02.487200,2026-08-30 04:44:33.714584,0 days 00:00:31.227384,fixed,512,False,5,https://ekatox.com/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
22,0.9829768240451813,0.9444444444444444,1.0,0.75,2026-08-30 04:44:33.751908,2026-08-30 04:45:11.847826,0 days 00:00:38.095918,fixed,512,False,5,https://telegram.org/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
23,0.8660774081945419,0.9073809523809524,0.8333333333333334,1.0,2026-08-30 04:45:11.878106,2026-08-30 04:45:55.864495,0 days 00:00:43.986389,fixed,512,False,5,https://hosting.com/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
24,0.6256263181567192,1.0,0.75,0.75,2026-08-30 04:45:55.893481,2026-08-30 04:46:26.345535,0 days 00:00:30.452054,fixed,512,False,5,https://www.overdrive.com/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
25,0.9121892303228378,0.8917631673881674,1.0,0.886904761904762,2026-08-30 04:46:26.364436,2026-08-30 04:47:11.574746,0 days 00:00:45.210310,fixed,512,False,5,https://wasabi.com/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
26,0.42695506289601326,0.925,0.875,0.625,2026-08-30 04:47:11.590835,2026-08-30 04:47:48.396132,0 days 00:00:36.805297,fixed,512,False,5,https://itunes.com,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
27,0.7410809546709061,0.8169642857142857,0.9375,1.0,2026-08-30 04:47:48.426056,2026-08-30 04:48:24.228480,0 days 00:00:35.802424,fixed,512,False,5,https://www.dynu.com/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
28,0.9687503278255463,0.7875,1.0,0.75,2026-08-30 04:48:24.249022,2026-08-30 04:48:58.353870,0 days 00:00:34.104848,fixed,512,False,5,https://www.abcp.ru/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
29,0.9753199964761734,0.9097222222222221,0.95,0.85,2026-08-30 04:48:58.376645,2026-08-30 04:49:40.023052,0 days 00:00:41.646407,fixed,512,False,5,https://www.univie.ac.at/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
30,0.5723230019211769,0.8730149711399712,1.0,0.5,2026-08-30 17:41:30.126906,2026-08-30 17:42:14.289054,0 days 00:00:44.162148,fixed,512,False,5,https://www.dingtalk.com/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
31,0.9708529412746429,1.0,1.0,0.5,2026-08-30 17:42:14.317259,2026-08-30 17:42:44.330915,0 days 00:00:30.013656,fixed,512,False,5,https://onenote.com,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
32,0.7932629287242889,0.9097222222222222,1.0,0.75,2026-08-30 17:42:44.350066,2026-08-30 17:43:13.519226,0 days 00:00:29.169160,fixed,512,False,5,https://cxense.com,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
33,0.9737401157617569,1.0,1.0,0.75,2026-08-30 17:43:13.538600,2026-08-30 17:43:50.960363,0 days 00:00:37.421763,fixed,512,False,5,https://adsbynimbus.com,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
34,0.6031342595815659,0.9166666666666666,0.9166666666666666,1.0,2026-08-30 17:43:50.987805,2026-08-30 17:44:37.485318,0 days 00:00:46.497513,fixed,512,False,5,https://www.paris.fr/lieux/paris-en-seine-baignade-grenelle-20613,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
35,0.9730857908725739,1.0,0.6666666666666666,0.5,2026-08-30 17:44:37.504231,2026-08-30 17:44:55.262004,0 days 00:00:17.757773,fixed,512,False,5,https://www.revolut.com/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
36,0.9822183847427368,0.8958333333333333,1.0,0.8333333333333334,2026-08-30 17:44:55.276170,2026-08-30 17:45:25.553531,0 days 00:00:30.277361,fixed,512,False,5,https://rylkngdm.com,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
37,0.9463494569063187,0.8611111111111112,1.0,1.0,2026-08-30 17:45:25.587971,2026-08-30 17:46:04.579927,0 days 00:00:38.991956,fixed,512,False,5,https://housing.ucr.edu/about-us/resident-services-office#glen-mor,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
38,0.9756229072809219,0.9083333333333333,0.875,1.0,2026-08-30 17:46:04.601056,2026-08-30 17:46:47.307482,0 days 00:00:42.706426,fixed,512,False,5,https://ghost.org/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
39,0.7642530463635921,0.86875,1.0,1.0,2026-08-30 17:46:47.325750,2026-08-30 17:47:22.101240,0 days 00:00:34.775490,fixed,512,False,5,https://fotocasa.es,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
40,0.6006043285131455,0.8916666666666668,0.9333333333333332,0.8,2026-08-30 17:47:22.117758,2026-08-30 17:48:18.070490,0 days 00:00:55.952732,fixed,512,False,5,https://mimecast.com,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
41,0.7930270917713642,1.0,1.0,0.875,2026-08-30 17:48:18.086088,2026-08-30 17:48:50.933462,0 days 00:00:32.847374,fixed,512,False,5,https://netbird.io,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
42,0.6804252862930298,0.6666666666666666,0.75,0.775,2026-08-30 17:48:50.956495,2026-08-30 17:49:28.825210,0 days 00:00:37.868715,fixed,512,False,5,https://zyxel.com,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
43,0.8448005765676498,0.9583333333333333,0.9,0.75,2026-08-30 17:49:28.852945,2026-08-30 17:50:08.245502,0 days 00:00:39.392557,fixed,512,False,5,https://arlo.com,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
44,0.3678455978631973,0.8296825396825398,0.8666666666666666,0.7333333333333333,2026-08-30 17:50:08.270963,2026-08-30 17:51:00.570939,0 days 00:00:52.299976,fixed,512,False,5,https://emaktab.uz/about,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
45,0.5914301387965679,0.6291666666666667,0.75,0.875,2026-08-30 17:51:00.587712,2026-08-30 17:51:49.658149,0 days 00:00:49.070437,fixed,512,False,5,https://www.e-recht24.de/anwalt-internetrecht.htm,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
46,0.85789355635643,0.9444444444444444,1.0,0.9375,2026-08-30 17:51:49.674759,2026-08-30 17:52:32.810828,0 days 00:00:43.136069,fixed,512,False,5,https://cnil.fr/fr/cnil-direct/question/le-droit-dacces-cest-quoi?visiteur=part,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
47,0.9925784170627594,1.0,1.0,1.0,2026-08-30 17:52:32.833444,2026-08-30 17:53:12.731547,0 days 00:00:39.898103,fixed,512,False,5,https://www.deltafiber.nl/over-ons/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
48,0.8889082819223404,0.8194444444444444,0.75,1.0,2026-08-30 17:53:12.748603,2026-08-30 17:53:51.622576,0 days 00:00:38.873973,fixed,512,False,5,https://immersivelabs.com,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
49,0.6164580844342709,0.8587698412698412,1.0,1.0,2026-08-30 17:53:51.643899,2026-08-30 17:54:26.525840,0 days 00:00:34.881941,fixed,512,False,5,https://www.parse.ly/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
